U,300000056115,0,0,40
U,015000075528,0,0,40
U,300000046454,-46,-1908,40
U,001267784252,-46,-1908,40
U,300000025589,-1185,-3250,40
U,115000055672,-1185,-3250,40
U,300000028871,0,0,40
U,117000068955,0,0,40
U,300000028898,0,0,40
U,117000068998,0,0,40
U,300000054902,-1017,-997,40
U,015000072327,-1017,-997,40
U,300000124609,-3731,-3656,40
U,129000057048,-3731,-3656,40
U,300000092618,0,0,40
U,115000036977,0,0,40
U,300000091824,6142,4156,40
U,115000036147,6142,4156,40
U,300000045016,0,0,40
U,001267766564,0,0,40
U,300000092685,-494617,-499109,40
U,115000037119,-494617,-499109,40
U,300000019619,-388,-2243,40
U,112000061681,-388,-2243,40
U,300000019597,0,0,40
